Date(D/M/YYYY),PM2.5,PM10,O3,NO2,SO2,AQI
1-Jun-19,222.0,190.0,121.0,108.0,42.0,272
2-Jun-19,170.0,153.0,85.0,93.0,26.0,220
3-Jun-19,223.0,263.0,94.0,74.0,37.0,273
4-Jun-19,153.0,126.0,110.0,41.0,4.0,203
5-Jun-19,157.0,130.0,111.0,40.0,8.0,207
6-Jun-19,129.0,77.0,114.0,26.0,2.0,170
7-Jun-19,149.0,78.0,97.0,61.0,5.0,199
8-Jun-19,156.0,112.0,99.0,75.0,35.0,206
9-Jun-19,160.0,112.0,93.0,78.0,19.0,210
10-Jun-19,168.0,151.0,104.0,89.0,23.0,218
11-Jun-19,171.0,253.0,86.0,65.0,23.0,221
12-Jun-19,160.0,173.0,86.0,36.0,5.0,210
13-Jun-19,142.0,122.0,86.0,66.0,8.0,188
14-Jun-19,156.0,129.0,109.0,92.0,19.0,206
15-Jun-19,188.0,170.0,87.0,59.0,19.0,238
16-Jun-19,154.0,126.0,77.0,43.0,77.0,204
17-Jun-19,153.0,75.0,81.0,54.0,1.0,203
18-Jun-19,128.0,118.0,98.0,27.0,1.0,168
19-Jun-19,169.0,179.0,114.0,53.0,7.0,219
20-Jun-19,153.0,144.0,97.0,62.0,18.0,203
21-Jun-19,188.0,141.0,96.0,59.0,17.0,238
22-Jun-19,159.0,141.0,96.0,57.0,17.0,209
23-Jun-19,160.0,134.0,96.0,57.0,16.0,210
24-Jun-19,163.0,135.0,96.0,57.0,16.0,213
25-Jun-19,176.0,135.0,95.0,58.0,17.0,226
26-Jun-19,166.0,138.0,94.0,60.0,18.0,216
27-Jun-19,135.0,141.0,94.0,60.0,18.0,178
28-Jun-19,186.0,144.0,93.0,59.0,17.0,236
29-Jun-19,151.0,144.0,93.0,58.0,17.0,201
30-Jun-19,149.0,144.0,93.0,56.0,17.0,199
1-Jul-19,152.0,162.0,97.0,60.0,12.0,202
2-Jul-19,156.0,162.0,95.0,58.0,14.0,206
3-Jul-19,158.0,109.0,113.0,27.0,11.0,208
4-Jul-19,154.0,85.0,131.0,27.0,10.0,204
5-Jul-19,124.0,38.0,110.0,41.0,16.0,163
6-Jul-19,141.0,65.0,59.0,80.0,16.0,187
7-Jul-19,149.0,67.0,89.0,32.0,16.0,199
8-Jul-19,155.0,90.0,69.0,37.0,17.0,205
9-Jul-19,127.0,69.0,90.0,21.0,16.0,167
10-Jul-19,153.0,112.0,68.0,21.0,16.0,203
11-Jul-19,139.0,95.0,92.0,40.0,16.0,184
12-Jul-19,171.0,232.0,60.0,193.0,16.0,221
13-Jul-19,139.0,84.0,109.0,299.0,16.0,316
14-Jul-19,89.0,31.0,87.0,27.0,16.0,117
15-Jul-19,137.0,100.0,90.0,68.0,16.0,181
16-Jul-19,119.0,95.0,90.0,69.0,16.0,155
17-Jul-19,103.0,90.0,89.0,70.0,14.0,135
18-Jul-19,119.0,89.0,88.0,73.0,15.0,155
19-Jul-19,133.0,89.0,85.0,76.0,15.0,176
20-Jul-19,136.0,93.0,83.0,79.0,15.0,180
21-Jul-19,135.0,48.0,72.0,29.0,6.0,178
22-Jul-19,156.0,63.0,14.0,13.0,14.0,206
23-Jul-19,164.0,83.0,78.0,56.0,14.0,214
24-Jul-19,156.0,19.0,85.0,6.0,14.0,206
25-Jul-19,105.0,90.0,84.0,62.0,14.0,137
26-Jul-19,103.0,87.0,84.0,62.0,15.0,135
27-Jul-19,108.0,84.0,82.0,62.0,15.0,141
28-Jul-19,123.0,83.0,80.0,64.0,14.0,161
29-Jul-19,123.0,83.0,79.0,65.0,14.0,161
30-Jul-19,125.0,85.0,80.0,66.0,14.0,164
31-Jul-19,106.0,85.0,79.0,66.0,14.0,139
1-Aug-19,116.0,21.0,62.0,21.0,14.0,151
2-Aug-19,78.0,21.0,62.0,71.0,2.0,104
3-Aug-19,101.0,35.0,7.0,27.0,26.0,132
4-Aug-19,113.0,34.0,18.0,54.0,63.0,147
5-Aug-19,105.0,27.0,37.0,43.0,26.0,137
6-Aug-19,141.0,29.0,31.0,48.0,29.0,187
7-Aug-19,114.0,31.0,23.0,43.0,36.0,149
8-Aug-19,164.0,30.0,27.0,47.0,38.0,214
9-Aug-19,154.0,71.0,29.0,45.0,18.0,204
10-Aug-19,143.0,35.0,27.0,45.0,15.0,190
11-Aug-19,104.0,31.0,31.0,45.0,26.0,136
12-Aug-19,112.0,32.0,68.0,45.0,27.0,146
13-Aug-19,104.0,31.0,66.0,45.0,12.0,136
14-Aug-19,123.0,33.0,38.0,45.0,13.0,161
15-Aug-19,113.0,28.0,28.0,45.0,24.0,147
16-Aug-19,98.0,22.0,26.0,45.0,14.0,129
17-Aug-19,85.0,20.0,21.0,45.0,15.0,112
18-Aug-19,119.0,27.0,75.0,45.0,23.0,155
19-Aug-19,98.0,28.0,79.0,45.0,23.0,129
20-Aug-19,133.0,44.0,44.0,45.0,17.0,176
21-Aug-19,142.0,67.0,50.0,50.0,16.0,188
22-Aug-19,129.0,48.0,27.0,41.0,18.0,170
23-Aug-19,131.0,45.0,80.0,40.0,24.0,173
24-Aug-19,157.0,65.0,80.0,47.0,17.0,207
25-Aug-19,144.0,42.0,76.0,27.0,15.0,191
26-Aug-19,115.0,48.0,55.0,43.0,17.0,150
27-Aug-19,160.0,59.0,56.0,47.0,18.0,210
28-Aug-19,198.0,59.0,56.0,47.0,18.0,248
29-Aug-19,160.0,47.0,62.0,31.0,14.0,210
30-Aug-19,143.0,35.0,33.0,32.0,14.0,190
31-Aug-19,174.0,48.0,40.0,25.0,18.0,224
1-Sep-19,146.0,56.0,41.0,32.0,47.0,194
2-Sep-19,148.0,51.0,46.0,45.0,14.0,197
3-Sep-19,166.0,67.0,85.0,50.0,15.0,216
4-Sep-19,167.0,53.0,55.0,41.0,14.0,217
5-Sep-19,101.0,23.0,56.0,40.0,12.0,132
6-Sep-19,136.0,42.0,56.0,47.0,12.0,180
7-Sep-19,133.0,41.0,62.0,27.0,13.0,176
8-Sep-19,163.0,44.0,33.0,43.0,12.0,213
9-Sep-19,155.0,49.0,70.0,47.0,11.0,205
10-Sep-19,151.0,42.0,37.0,47.0,10.0,201
11-Sep-19,155.0,48.0,56.0,31.0,12.0,205
12-Sep-19,162.0,59.0,51.0,32.0,12.0,212
13-Sep-19,157.0,47.0,56.0,25.0,23.0,207
14-Sep-19,159.0,35.0,56.0,32.0,11.0,209
15-Sep-19,158.0,48.0,63.0,45.0,4.0,208
16-Sep-19,145.0,56.0,47.0,50.0,3.0,193
17-Sep-19,136.0,51.0,55.0,41.0,3.0,180
18-Sep-19,159.0,67.0,42.0,40.0,3.0,209
19-Sep-19,133.0,53.0,60.0,47.0,3.0,176
20-Sep-19,128.0,23.0,63.0,27.0,3.0,168
21-Sep-19,183.0,42.0,57.0,43.0,35.0,233
22-Sep-19,155.0,41.0,62.0,47.0,4.0,205
23-Sep-19,130.0,44.0,19.0,47.0,3.0,171
24-Sep-19,133.0,49.0,57.0,31.0,15.0,176
25-Sep-19,150.0,42.0,62.0,32.0,13.0,200
26-Sep-19,161.0,48.0,19.0,25.0,3.0,211
27-Sep-19,156.0,34.0,46.0,32.0,3.0,206
28-Sep-19,116.0,20.0,55.0,9.0,3.0,151
29-Sep-19,93.0,26.0,41.0,11.0,3.0,122
30-Sep-19,183.0,60.0,50.0,37.0,4.0,233
1-Oct-19,142.0,47.0,22.0,29.0,3.0,188
2-Oct-19,162.0,59.0,57.0,37.0,4.0,212
3-Oct-19,163.0,48.0,56.0,27.0,3.0,213
4-Oct-19,185.0,64.0,51.0,41.0,4.0,235
5-Oct-19,143.0,87.0,56.0,36.0,15.0,190
6-Oct-19,142.0,44.0,56.0,32.0,16.0,188
7-Oct-19,144.0,56.0,63.0,27.0,15.0,191
8-Oct-19,155.0,57.0,47.0,44.0,22.0,205
9-Oct-19,185.0,67.0,55.0,46.0,21.0,235
10-Oct-19,184.0,52.0,42.0,40.0,25.0,234
11-Oct-19,224.0,57.0,60.0,56.0,16.0,274
12-Oct-19,192.0,69.0,63.0,49.0,23.0,242
13-Oct-19,200.0,57.0,57.0,45.0,25.0,250
14-Oct-19,200.0,52.0,62.0,50.0,22.0,250
15-Oct-19,188.0,57.0,19.0,45.0,10.0,238
16-Oct-19,223.0,69.0,66.0,43.0,13.0,273
17-Oct-19,246.0,57.0,17.0,44.0,13.0,296
18-Oct-19,156.0,52.0,59.0,13.0,9.0,206
19-Oct-19,163.0,40.0,17.0,21.0,10.0,213
20-Oct-19,165.0,32.0,59.0,30.0,9.0,215
21-Oct-19,187.0,172.0,44.0,28.0,28.0,237
22-Oct-19,193.0,182.0,53.0,26.0,18.0,243
