Date(D/M/YYYY),PM2.5,PM10,O3,NO2,SO2
1-Jun-19,222,190,121,108,42
2-Jun-19,170,153,85,93,26
3-Jun-19,223,263,94,74,37
4-Jun-19,153,126,110,41,4
5-Jun-19,157,130,111,40,8
6-Jun-19,129,77,114,26,2
7-Jun-19,149,78,97,61,5
8-Jun-19,156,112,99,75,35
9-Jun-19,160,112,93,78,19
10-Jun-19,168,151,104,89,23
11-Jun-19,171,253,86,65,23
12-Jun-19,160,173,86,36,5
13-Jun-19,142,122,86,66,8
14-Jun-19,156,129,109,92,19
15-Jun-19,188,170,87,59,19
16-Jun-19,154,126,77,43,77
17-Jun-19,153,75,81,54,1
18-Jun-19,128,118,98,27,1
19-Jun-19,169,179,114,53,7
20-Jun-19,153,144,97,62,18
21-Jun-19,188,141,96,59,17
22-Jun-19,159,141,96,57,17
23-Jun-19,160,134,96,57,16
24-Jun-19,163,135,96,57,16
25-Jun-19,176,135,95,58,17
26-Jun-19,166,138,94,60,18
27-Jun-19,135,141,94,60,18
28-Jun-19,186,144,93,59,17
29-Jun-19,151,144,93,58,17
30-Jun-19,149,144,93,56,17
1-Jul-19,152,162,97,60,12
2-Jul-19,156,162,95,58,14
3-Jul-19,158,109,113,27,11
4-Jul-19,154,85,131,27,10
5-Jul-19,124,38,110,41,16
6-Jul-19,141,65,59,80,16
7-Jul-19,149,67,89,32,16
8-Jul-19,155,90,69,37,17
9-Jul-19,127,69,90,21,16
10-Jul-19,153,112,68,21,16
11-Jul-19,139,95,92,40,16
12-Jul-19,171,232,60,193,16
13-Jul-19,139,84,109,299,16
14-Jul-19,89,31,87,27,16
15-Jul-19,137,100,90,68,16
16-Jul-19,119,95,90,69,16
17-Jul-19,103,90,89,70,14
18-Jul-19,119,89,88,73,15
19-Jul-19,133,89,85,76,15
20-Jul-19,136,93,83,79,15
21-Jul-19,135,48,72,29,6
22-Jul-19,156,63,14,13,14
23-Jul-19,164,83,78,56,14
24-Jul-19,156,19,85,6,14
25-Jul-19,105,90,84,62,14
26-Jul-19,103,87,84,62,15
27-Jul-19,108,84,82,62,15
28-Jul-19,123,83,80,64,14
29-Jul-19,123,83,79,65,14
30-Jul-19,125,85,80,66,14
31-Jul-19,106,85,79,66,14
1-Aug-19,116,21,62,21,14
2-Aug-19,78,21,62,71,2
3-Aug-19,101,35,7,27,26
4-Aug-19,113,34,18,54,63
5-Aug-19,105,27,37,43,26
6-Aug-19,141,29,31,48,29
7-Aug-19,114,31,23,43,36
8-Aug-19,164,30,27,47,38
9-Aug-19,154,71,29,45,18
10-Aug-19,143,35,27,45,15
11-Aug-19,104,31,31,45,26
12-Aug-19,112,32,68,45,27
